Target: 
Point: (0.5008776625329385, 0.49987130979208894, 0.5015272203056393)
Point: (0.49911740752593614, 0.5016023255256268, 0.4968893807000657)
Point: (0.49727829198047946, 0.501776502048009, 0.4983756008194773)
Point: (0.496596752120364, 0.49758122864140575, 0.4969181814280554)

Execution 1
Generation 1 | Average Generation Fitness: 0.7348973074453671 | Best Fitness: 0.7951287982088748 | Population Length: 20
Generation 17 | Average Generation Fitness: 0.7825106505208959 | Best Fitness: 0.8306407635238454 | Population Length: 20
Generation 18 | Average Generation Fitness: 0.7838193125759219 | Best Fitness: 0.8306407635238454 | Population Length: 20
Generation 19 | Average Generation Fitness: 0.7981891975941032 | Best Fitness: 0.8310482467621282 | Population Length: 20
Generation 20 | Average Generation Fitness: 0.7913760137049153 | Best Fitness: 0.8310482467621282 | Population Length: 20
Generation 21 | Average Generation Fitness: 0.7914799673476806 | Best Fitness: 0.8311312039663209 | Population Length: 20
Generation 22 | Average Generation Fitness: 0.7722890206585891 | Best Fitness: 0.8311312039663209 | Population Length: 20
Generation 23 | Average Generation Fitness: 0.7940507779119248 | Best Fitness: 0.8313950434332754 | Population Length: 20
Generation 24 | Average Generation Fitness: 0.7933804457642404 | Best Fitness: 0.831626700729126 | Population Length: 20
Generation 25 | Average Generation Fitness: 0.8051617107131772 | Best Fitness: 0.832074223736144 | Population Length: 20
Generation 26 | Average Generation Fitness: 0.7975452075623477 | Best Fitness: 0.832074223736144 | Population Length: 20
Generation 27 | Average Generation Fitness: 0.78368458246786 | Best Fitness: 0.832074223736144 | Population Length: 20
Generation 28 | Average Generation Fitness: 0.7959883476297136 | Best Fitness: 0.8316851325988472 | Population Length: 20
Generation 29 | Average Generation Fitness: 0.8035735644629186 | Best Fitness: 0.8316851325988472 | Population Length: 20
Generation 30 | Average Generation Fitness: 0.7915458201381711 | Best Fitness: 0.8321609026156256 | Population Length: 20
Generation 31 | Average Generation Fitness: 0.7939837605021788 | Best Fitness: 0.8322739287318014 | Population Length: 20
Generation 32 | Average Generation Fitness: 0.7955330340847449 | Best Fitness: 0.8321609026156256 | Population Length: 20
Generation 33 | Average Generation Fitness: 0.7770984556347267 | Best Fitness: 0.8322973709536701 | Population Length: 20
Generation 34 | Average Generation Fitness: 0.8022585415135897 | Best Fitness: 0.8322973709536701 | Population Length: 20
Generation 35 | Average Generation Fitness: 0.7972663450150467 | Best Fitness: 0.8322370177545686 | Population Length: 20
Generation 36 | Average Generation Fitness: 0.8068220687267059 | Best Fitness: 0.8322370177545686 | Population Length: 20
Generation 37 | Average Generation Fitness: 0.7969072794217695 | Best Fitness: 0.8322370177545686 | Population Length: 20
Generation 38 | Average Generation Fitness: 0.8000329887484574 | Best Fitness: 0.8322370177545686 | Population Length: 20
Generation 39 | Average Generation Fitness: 0.7809421033813762 | Best Fitness: 0.8311658969883093 | Population Length: 20
Generation 40 | Average Generation Fitness: 0.7937870810656535 | Best Fitness: 0.8313644227981088 | Population Length: 20
Generation 41 | Average Generation Fitness: 0.795014134262079 | Best Fitness: 0.8313644227981088 | Population Length: 20
Generation 42 | Average Generation Fitness: 0.8086591869709225 | Best Fitness: 0.8313644227981088 | Population Length: 20
Generation 43 | Average Generation Fitness: 0.7736276136457086 | Best Fitness: 0.8313644227981088 | Population Length: 20
Generation 44 | Average Generation Fitness: 0.8074644865869356 | Best Fitness: 0.8314276218614853 | Population Length: 20
Generation 45 | Average Generation Fitness: 0.7675141679316233 | Best Fitness: 0.8314276218614853 | Population Length: 20
Generation 46 | Average Generation Fitness: 0.7771916574303225 | Best Fitness: 0.8314276218614853 | Population Length: 20
Generation 47 | Average Generation Fitness: 0.7785505488384314 | Best Fitness: 0.8321065525238087 | Population Length: 20
Generation 48 | Average Generation Fitness: 0.8079466531165078 | Best Fitness: 0.8321065525238087 | Population Length: 20
Generation 49 | Average Generation Fitness: 0.8130915539168614 | Best Fitness: 0.8321065525238087 | Population Length: 20
Generation 50 | Average Generation Fitness: 0.782984684645187 | Best Fitness: 0.8322643928940976 | Population Length: 20
Generation 51 | Average Generation Fitness: 0.7919037068449752 | Best Fitness: 0.8321065525238087 | Population Length: 20
Generation 52 | Average Generation Fitness: 0.791477347899979 | Best Fitness: 0.8322643928940976 | Population Length: 20
Generation 53 | Average Generation Fitness: 0.7899330184977732 | Best Fitness: 0.8322643928940976 | Population Length: 20
------------------------------------------------
Total Generations: 53
Total Population: 20   ---   Mutation Rate: 0.1  ---  Crossover Probability: 0.6
Average Fitness: 0.7899330184977732  ---  Best Overall Fitness: 0.8322973709536701
------------------------------------------------
Execution 2
Generation 1 | Average Generation Fitness: 0.7422786971210554 | Best Fitness: 0.802510136814426 | Population Length: 20
Generation 2 | Average Generation Fitness: 0.7744081553788758 | Best Fitness: 0.8054955100188017 | Population Length: 20
Generation 3 | Average Generation Fitness: 0.7713319156390195 | Best Fitness: 0.8101174549687938 | Population Length: 20
Generation 4 | Average Generation Fitness: 0.7868718227705381 | Best Fitness: 0.8101174549687938 | Population Length: 20
Generation 5 | Average Generation Fitness: 0.7733297082014642 | Best Fitness: 0.8101847167964025 | Population Length: 20
Generation 6 | Average Generation Fitness: 0.7884647071111865 | Best Fitness: 0.811592988759507 | Population Length: 20
Generation 7 | Average Generation Fitness: 0.775139194135605 | Best Fitness: 0.811592988759507 | Population Length: 20
Generation 8 | Average Generation Fitness: 0.7786452315623684 | Best Fitness: 0.8118496008511532 | Population Length: 20
Generation 9 | Average Generation Fitness: 0.7814880258705141 | Best Fitness: 0.8137081682894965 | Population Length: 20
Generation 10 | Average Generation Fitness: 0.7763374771265166 | Best Fitness: 0.8184878553348734 | Population Length: 20
Generation 11 | Average Generation Fitness: 0.7840776640430066 | Best Fitness: 0.8204069899279557 | Population Length: 20
Generation 12 | Average Generation Fitness: 0.7833027126477915 | Best Fitness: 0.8269018214260383 | Population Length: 20
Generation 13 | Average Generation Fitness: 0.7897957526400541 | Best Fitness: 0.8269018214260383 | Population Length: 20
Generation 14 | Average Generation Fitness: 0.7866544731235174 | Best Fitness: 0.8297802133798325 | Population Length: 20
Generation 15 | Average Generation Fitness: 0.7860431287885898 | Best Fitness: 0.8297802133798325 | Population Length: 20
Generation 16 | Average Generation Fitness: 0.7984240555488181 | Best Fitness: 0.8297802133798325 | Population Length: 20
Generation 17 | Average Generation Fitness: 0.792764832510004 | Best Fitness: 0.8297802133798325 | Population Length: 20
Generation 18 | Average Generation Fitness: 0.7808316969415492 | Best Fitness: 0.8297802133798325 | Population Length: 20
Generation 19 | Average Generation Fitness: 0.7967440600264045 | Best Fitness: 0.8297802133798325 | Population Length: 20
Generation 20 | Average Generation Fitness: 0.78825598243269 | Best Fitness: 0.8298889267263189 | Population Length: 20
Generation 21 | Average Generation Fitness: 0.7837128319979418 | Best Fitness: 0.8297802133798325 | Population Length: 20
Generation 22 | Average Generation Fitness: 0.7997925863108138 | Best Fitness: 0.8297802133798325 | Population Length: 20
Generation 23 | Average Generation Fitness: 0.7762417097491912 | Best Fitness: 0.8297802133798325 | Population Length: 20
Generation 24 | Average Generation Fitness: 0.7935023720769896 | Best Fitness: 0.829828618011724 | Population Length: 20
Generation 25 | Average Generation Fitness: 0.7811359895042039 | Best Fitness: 0.829828618011724 | Population Length: 20
Generation 26 | Average Generation Fitness: 0.8104484776587512 | Best Fitness: 0.8304521337649201 | Population Length: 20
Generation 27 | Average Generation Fitness: 0.8023712333007735 | Best Fitness: 0.8305042070679973 | Population Length: 20
Generation 28 | Average Generation Fitness: 0.8060550843349509 | Best Fitness: 0.8305042070679973 | Population Length: 20
Generation 29 | Average Generation Fitness: 0.8000028424235662 | Best Fitness: 0.831071342733893 | Population Length: 20
Generation 30 | Average Generation Fitness: 0.8041970272965127 | Best Fitness: 0.831071342733893 | Population Length: 20
Generation 31 | Average Generation Fitness: 0.8028909872478177 | Best Fitness: 0.8312508973483966 | Population Length: 20
Generation 32 | Average Generation Fitness: 0.800503199506189 | Best Fitness: 0.8313570261796208 | Population Length: 20
Generation 33 | Average Generation Fitness: 0.7947390373470201 | Best Fitness: 0.8313570261796208 | Population Length: 20
Generation 34 | Average Generation Fitness: 0.7918702534507361 | Best Fitness: 0.8313570261796208 | Population Length: 20
Generation 35 | Average Generation Fitness: 0.8007134410257588 | Best Fitness: 0.8313570261796208 | Population Length: 20
Generation 36 | Average Generation Fitness: 0.8014308543768746 | Best Fitness: 0.8315495604343516 | Population Length: 20
Generation 37 | Average Generation Fitness: 0.8046513535469391 | Best Fitness: 0.8315495604343516 | Population Length: 20
Generation 38 | Average Generation Fitness: 0.7993601532781788 | Best Fitness: 0.8314368822894929 | Population Length: 20
Generation 39 | Average Generation Fitness: 0.7694113283425688 | Best Fitness: 0.8300301231521743 | Population Length: 20
Generation 40 | Average Generation Fitness: 0.7906039709698298 | Best Fitness: 0.8316102767285817 | Population Length: 20
Generation 41 | Average Generation Fitness: 0.7942503859611982 | Best Fitness: 0.8316102767285817 | Population Length: 20
Generation 42 | Average Generation Fitness: 0.7800918913280948 | Best Fitness: 0.8314788866208425 | Population Length: 20
Generation 43 | Average Generation Fitness: 0.8078404232526019 | Best Fitness: 0.8318847790904129 | Population Length: 20
Generation 44 | Average Generation Fitness: 0.7984815546710842 | Best Fitness: 0.8318847790904129 | Population Length: 20
Generation 45 | Average Generation Fitness: 0.8054858240538328 | Best Fitness: 0.8322123948659984 | Population Length: 20
Generation 46 | Average Generation Fitness: 0.7846105500165003 | Best Fitness: 0.8322123948659984 | Population Length: 20
Generation 47 | Average Generation Fitness: 0.7647693068230638 | Best Fitness: 0.8318861578623717 | Population Length: 20
Generation 48 | Average Generation Fitness: 0.783103573489658 | Best Fitness: 0.8318861578623717 | Population Length: 20
Generation 49 | Average Generation Fitness: 0.7838333976373291 | Best Fitness: 0.8318861578623717 | Population Length: 20
Generation 50 | Average Generation Fitness: 0.794689321082869 | Best Fitness: 0.8318861578623717 | Population Length: 20
Generation 51 | Average Generation Fitness: 0.7954058708121442 | Best Fitness: 0.8319979683934574 | Population Length: 20
------------------------------------------------
Total Generations: 51
Total Population: 20   ---   Mutation Rate: 0.1  ---  Crossover Probability: 0.6
Average Fitness: 0.7954058708121442  ---  Best Overall Fitness: 0.8322123948659984
------------------------------------------------
Execution 3
Generation 1 | Average Generation Fitness: 0.7663431594675663 | Best Fitness: 0.7990391643531973 | Population Length: 20
Generation 2 | Average Generation Fitness: 0.7638381235607273 | Best Fitness: 0.8037934021088478 | Population Length: 20
Generation 3 | Average Generation Fitness: 0.777399320750012 | Best Fitness: 0.8043293953401266 | Population Length: 20
Generation 4 | Average Generation Fitness: 0.7823644655229828 | Best Fitness: 0.8150075532338222 | Population Length: 20
Generation 5 | Average Generation Fitness: 0.7809222558347106 | Best Fitness: 0.8222110220425615 | Population Length: 20
Generation 6 | Average Generation Fitness: 0.7858673456435821 | Best Fitness: 0.8230260193062492 | Population Length: 20
Generation 7 | Average Generation Fitness: 0.7851580444896766 | Best Fitness: 0.8255037771707839 | Population Length: 20
Generation 8 | Average Generation Fitness: 0.7808949676247725 | Best Fitness: 0.8256273715945 | Population Length: 20
Generation 9 | Average Generation Fitness: 0.7940972293646128 | Best Fitness: 0.8257130800286286 | Population Length: 20
Generation 10 | Average Generation Fitness: 0.7919108830506075 | Best Fitness: 0.8289521432268606 | Population Length: 20
Generation 11 | Average Generation Fitness: 0.7759599008354254 | Best Fitness: 0.828947355578044 | Population Length: 20
Generation 12 | Average Generation Fitness: 0.7882864945002923 | Best Fitness: 0.8298288790697094 | Population Length: 20
Generation 13 | Average Generation Fitness: 0.788467053311358 | Best Fitness: 0.8301304532827067 | Population Length: 20
Generation 14 | Average Generation Fitness: 0.7862400186389141 | Best Fitness: 0.8298288790697094 | Population Length: 20
Generation 15 | Average Generation Fitness: 0.797960303361664 | Best Fitness: 0.8298288790697094 | Population Length: 20
Generation 16 | Average Generation Fitness: 0.7988325058299461 | Best Fitness: 0.8298288790697094 | Population Length: 20
Generation 17 | Average Generation Fitness: 0.7933516151722688 | Best Fitness: 0.8298288790697094 | Population Length: 20
Generation 18 | Average Generation Fitness: 0.7862441076304466 | Best Fitness: 0.8298288790697094 | Population Length: 20
Generation 19 | Average Generation Fitness: 0.7871764931302685 | Best Fitness: 0.8307749196448934 | Population Length: 20
Generation 20 | Average Generation Fitness: 0.7851359854948867 | Best Fitness: 0.8308804792694762 | Population Length: 20
Generation 21 | Average Generation Fitness: 0.7919305488410195 | Best Fitness: 0.8311521543184417 | Population Length: 20
Generation 22 | Average Generation Fitness: 0.8062294287162202 | Best Fitness: 0.8307749196448934 | Population Length: 20
Generation 23 | Average Generation Fitness: 0.8038777793299271 | Best Fitness: 0.8308927787207454 | Population Length: 20
Generation 24 | Average Generation Fitness: 0.7837440393310212 | Best Fitness: 0.8305022145592376 | Population Length: 20
Generation 25 | Average Generation Fitness: 0.7790548989324576 | Best Fitness: 0.8309638077661808 | Population Length: 20
Generation 26 | Average Generation Fitness: 0.7978091656286155 | Best Fitness: 0.8307989094120208 | Population Length: 20
Generation 27 | Average Generation Fitness: 0.7706746651218586 | Best Fitness: 0.8307989094120208 | Population Length: 20
Generation 28 | Average Generation Fitness: 0.7949366130250669 | Best Fitness: 0.830806891415253 | Population Length: 20
Generation 29 | Average Generation Fitness: 0.7858399570728413 | Best Fitness: 0.830806891415253 | Population Length: 20
Generation 30 | Average Generation Fitness: 0.7875077427333225 | Best Fitness: 0.8313686018706347 | Population Length: 20
Generation 31 | Average Generation Fitness: 0.7998656161087644 | Best Fitness: 0.830806891415253 | Population Length: 20
Generation 32 | Average Generation Fitness: 0.7728486647395745 | Best Fitness: 0.830806891415253 | Population Length: 20
Generation 33 | Average Generation Fitness: 0.8056877770639861 | Best Fitness: 0.830806891415253 | Population Length: 20
Generation 34 | Average Generation Fitness: 0.7996562871818992 | Best Fitness: 0.8308532507585465 | Population Length: 20
Generation 35 | Average Generation Fitness: 0.7915316585736791 | Best Fitness: 0.830806891415253 | Population Length: 20
Generation 36 | Average Generation Fitness: 0.7897951883261314 | Best Fitness: 0.830806891415253 | Population Length: 20
Generation 37 | Average Generation Fitness: 0.7862073376212659 | Best Fitness: 0.830806891415253 | Population Length: 20
Generation 38 | Average Generation Fitness: 0.7863067549219475 | Best Fitness: 0.830806891415253 | Population Length: 20
Generation 39 | Average Generation Fitness: 0.8024432881811521 | Best Fitness: 0.8309658073254769 | Population Length: 20
Generation 40 | Average Generation Fitness: 0.8091209781856643 | Best Fitness: 0.8311860348317991 | Population Length: 20
Generation 41 | Average Generation Fitness: 0.7797207742718464 | Best Fitness: 0.83144382049391 | Population Length: 20
Generation 42 | Average Generation Fitness: 0.8024957671070533 | Best Fitness: 0.8320083188163633 | Population Length: 20
Generation 43 | Average Generation Fitness: 0.788758761004462 | Best Fitness: 0.8321922967169829 | Population Length: 20
Generation 44 | Average Generation Fitness: 0.7749465960689026 | Best Fitness: 0.8325513050175597 | Population Length: 20
Generation 45 | Average Generation Fitness: 0.7901630486785298 | Best Fitness: 0.8325513050175597 | Population Length: 20
Generation 46 | Average Generation Fitness: 0.7907296662448886 | Best Fitness: 0.8328090570263775 | Population Length: 20
Generation 47 | Average Generation Fitness: 0.7835869080193081 | Best Fitness: 0.8328090570263775 | Population Length: 20
Generation 48 | Average Generation Fitness: 0.8011486280080092 | Best Fitness: 0.8328090570263775 | Population Length: 20
Generation 49 | Average Generation Fitness: 0.7928331044840832 | Best Fitness: 0.8325628686543396 | Population Length: 20
Generation 50 | Average Generation Fitness: 0.7864899176129007 | Best Fitness: 0.8325628686543396 | Population Length: 20
Generation 51 | Average Generation Fitness: 0.7911080313500091 | Best Fitness: 0.8325628686543396 | Population Length: 20
Generation 52 | Average Generation Fitness: 0.7987806383369904 | Best Fitness: 0.8325628686543396 | Population Length: 20
Generation 53 | Average Generation Fitness: 0.7899805465646517 | Best Fitness: 0.8325790280297779 | Population Length: 20
Generation 54 | Average Generation Fitness: 0.785942747401148 | Best Fitness: 0.8324457779054888 | Population Length: 20
------------------------------------------------
Total Generations: 54
Total Population: 20   ---   Mutation Rate: 0.1  ---  Crossover Probability: 0.6
Average Fitness: 0.785942747401148  ---  Best Overall Fitness: 0.8328090570263775
------------------------------------------------
Execution 4
Generation 1 | Average Generation Fitness: 0.7211195721045073 | Best Fitness: 0.7857590625270366 | Population Length: 20
Generation 2 | Average Generation Fitness: 0.7647719896268474 | Best Fitness: 0.8151080208496324 | Population Length: 20
Generation 3 | Average Generation Fitness: 0.7711046756608696 | Best Fitness: 0.8188651415621754 | Population Length: 20
Generation 4 | Average Generation Fitness: 0.7807477044751794 | Best Fitness: 0.8188651415621754 | Population Length: 20
Generation 5 | Average Generation Fitness: 0.7768712687185072 | Best Fitness: 0.8202542686150818 | Population Length: 20
Generation 6 | Average Generation Fitness: 0.7738783292764377 | Best Fitness: 0.8196360204854247 | Population Length: 20
Generation 7 | Average Generation Fitness: 0.7892133458649747 | Best Fitness: 0.8207195842074072 | Population Length: 20
Generation 8 | Average Generation Fitness: 0.790848477373573 | Best Fitness: 0.8210559700627872 | Population Length: 20
Generation 9 | Average Generation Fitness: 0.7951241265748871 | Best Fitness: 0.8214964400138268 | Population Length: 20
Generation 10 | Average Generation Fitness: 0.788646745693273 | Best Fitness: 0.8287113399915252 | Population Length: 20
Generation 11 | Average Generation Fitness: 0.7923320016732759 | Best Fitness: 0.8287481596340989 | Population Length: 20
Generation 12 | Average Generation Fitness: 0.7918354285096254 | Best Fitness: 0.8297846021478512 | Population Length: 20
Generation 13 | Average Generation Fitness: 0.8047160092078828 | Best Fitness: 0.8299481873941473 | Population Length: 20
Generation 14 | Average Generation Fitness: 0.8025180925564577 | Best Fitness: 0.8299481873941473 | Population Length: 20
Generation 15 | Average Generation Fitness: 0.8006899984310726 | Best Fitness: 0.8300706439335793 | Population Length: 20
Generation 16 | Average Generation Fitness: 0.7746626115081353 | Best Fitness: 0.8300706439335793 | Population Length: 20
Generation 17 | Average Generation Fitness: 0.791774257758549 | Best Fitness: 0.8300706439335793 | Population Length: 20
Generation 18 | Average Generation Fitness: 0.7991976775990605 | Best Fitness: 0.8302390140694378 | Population Length: 20
Generation 19 | Average Generation Fitness: 0.7984536790467605 | Best Fitness: 0.8307306578634269 | Population Length: 20
Generation 20 | Average Generation Fitness: 0.7956134349492726 | Best Fitness: 0.8307306578634269 | Population Length: 20
Generation 21 | Average Generation Fitness: 0.7824070225783997 | Best Fitness: 0.8307306578634269 | Population Length: 20
Generation 22 | Average Generation Fitness: 0.8018988163165547 | Best Fitness: 0.8307306578634269 | Population Length: 20
Generation 23 | Average Generation Fitness: 0.7860758371153252 | Best Fitness: 0.8307306578634269 | Population Length: 20
Generation 24 | Average Generation Fitness: 0.7749811411941044 | Best Fitness: 0.8311045256963849 | Population Length: 20
Generation 25 | Average Generation Fitness: 0.78487523388944 | Best Fitness: 0.8271306315584631 | Population Length: 20
Generation 26 | Average Generation Fitness: 0.7916337473806346 | Best Fitness: 0.827585397624667 | Population Length: 20
Generation 27 | Average Generation Fitness: 0.7794013201531229 | Best Fitness: 0.8278106913036164 | Population Length: 20
Generation 28 | Average Generation Fitness: 0.7845948641802738 | Best Fitness: 0.8278106913036164 | Population Length: 20
Generation 29 | Average Generation Fitness: 0.7784125465448329 | Best Fitness: 0.8278106913036164 | Population Length: 20
Generation 30 | Average Generation Fitness: 0.7842504170706206 | Best Fitness: 0.8265170283768674 | Population Length: 20
Generation 31 | Average Generation Fitness: 0.7831087757652253 | Best Fitness: 0.8272336608370039 | Population Length: 20
Generation 32 | Average Generation Fitness: 0.7763779006327487 | Best Fitness: 0.8279871750105388 | Population Length: 20
Generation 33 | Average Generation Fitness: 0.7939758720304069 | Best Fitness: 0.8287855208527185 | Population Length: 20
Generation 34 | Average Generation Fitness: 0.7880238813912942 | Best Fitness: 0.8289419068897426 | Population Length: 20
Generation 35 | Average Generation Fitness: 0.7912556773105534 | Best Fitness: 0.8292594365476657 | Population Length: 20
Generation 36 | Average Generation Fitness: 0.778679386408467 | Best Fitness: 0.8293420941845284 | Population Length: 20
Generation 37 | Average Generation Fitness: 0.7955899774939605 | Best Fitness: 0.8293511634281875 | Population Length: 20
Generation 38 | Average Generation Fitness: 0.792622523671079 | Best Fitness: 0.8293511634281875 | Population Length: 20
Generation 39 | Average Generation Fitness: 0.7923455431706412 | Best Fitness: 0.8293511634281875 | Population Length: 20
Generation 40 | Average Generation Fitness: 0.7851112924785469 | Best Fitness: 0.8293511634281875 | Population Length: 20
Generation 41 | Average Generation Fitness: 0.7908919611345081 | Best Fitness: 0.8295571065846082 | Population Length: 20
Generation 42 | Average Generation Fitness: 0.8001315333727778 | Best Fitness: 0.8304291121281202 | Population Length: 20
Generation 43 | Average Generation Fitness: 0.7989900898517008 | Best Fitness: 0.8310827998126116 | Population Length: 20
Generation 44 | Average Generation Fitness: 0.7972003376870185 | Best Fitness: 0.8309453677600142 | Population Length: 20
Generation 45 | Average Generation Fitness: 0.7980866518402991 | Best Fitness: 0.8309604068033382 | Population Length: 20
Generation 46 | Average Generation Fitness: 0.7849034058749742 | Best Fitness: 0.8312152653413779 | Population Length: 20
Generation 47 | Average Generation Fitness: 0.7918376762240125 | Best Fitness: 0.8312152653413779 | Population Length: 20
Generation 48 | Average Generation Fitness: 0.7786379425319631 | Best Fitness: 0.8314735384140053 | Population Length: 20
Generation 49 | Average Generation Fitness: 0.7940575264330636 | Best Fitness: 0.8311454666485273 | Population Length: 20
Generation 50 | Average Generation Fitness: 0.7897272694444206 | Best Fitness: 0.8313439183643748 | Population Length: 20
Generation 51 | Average Generation Fitness: 0.7776995137200174 | Best Fitness: 0.8313439183643748 | Population Length: 20
Generation 52 | Average Generation Fitness: 0.783304380783594 | Best Fitness: 0.8313948195507499 | Population Length: 20
------------------------------------------------
Total Generations: 52
Total Population: 20   ---   Mutation Rate: 0.1  ---  Crossover Probability: 0.6
Average Fitness: 0.783304380783594  ---  Best Overall Fitness: 0.8314735384140053
------------------------------------------------
Execution 5
Generation 1 | Average Generation Fitness: 0.7309460853518703 | Best Fitness: 0.7842892245906318 | Population Length: 20
Generation 2 | Average Generation Fitness: 0.7517253912949282 | Best Fitness: 0.7942092496053507 | Population Length: 20
Generation 3 | Average Generation Fitness: 0.7513479996040451 | Best Fitness: 0.7974245487571655 | Population Length: 20
Generation 4 | Average Generation Fitness: 0.777999945186643 | Best Fitness: 0.8113021653977864 | Population Length: 20
Generation 5 | Average Generation Fitness: 0.7838280086515301 | Best Fitness: 0.8140158944948943 | Population Length: 20
Generation 6 | Average Generation Fitness: 0.7734503331945718 | Best Fitness: 0.8180330970968935 | Population Length: 20
Generation 7 | Average Generation Fitness: 0.785782833416804 | Best Fitness: 0.8182907044467126 | Population Length: 20
Generation 8 | Average Generation Fitness: 0.7774574417221073 | Best Fitness: 0.8201101944538471 | Population Length: 20
Generation 9 | Average Generation Fitness: 0.798061593659788 | Best Fitness: 0.8282654904234498 | Population Length: 20
Generation 10 | Average Generation Fitness: 0.7771244758032599 | Best Fitness: 0.8301131207695371 | Population Length: 20
Generation 11 | Average Generation Fitness: 0.7829895902756274 | Best Fitness: 0.8282654904234498 | Population Length: 20
Generation 12 | Average Generation Fitness: 0.770580056807231 | Best Fitness: 0.8282654904234498 | Population Length: 20
Generation 13 | Average Generation Fitness: 0.7976162688585711 | Best Fitness: 0.8282654904234498 | Population Length: 20
Generation 14 | Average Generation Fitness: 0.7862288981385035 | Best Fitness: 0.8282654904234498 | Population Length: 20
Generation 15 | Average Generation Fitness: 0.7996803568155575 | Best Fitness: 0.8282808419027384 | Population Length: 20
Generation 16 | Average Generation Fitness: 0.8012427508989916 | Best Fitness: 0.8282808419027384 | Population Length: 20
Generation 17 | Average Generation Fitness: 0.7877577643443873 | Best Fitness: 0.8289488114238437 | Population Length: 20
Generation 18 | Average Generation Fitness: 0.8034324781812874 | Best Fitness: 0.8293623041270168 | Population Length: 20
Generation 19 | Average Generation Fitness: 0.8082265799448404 | Best Fitness: 0.8293623041270168 | Population Length: 20
Generation 20 | Average Generation Fitness: 0.7827351110309211 | Best Fitness: 0.8295159342245447 | Population Length: 20
Generation 21 | Average Generation Fitness: 0.7825351759846881 | Best Fitness: 0.831905450784972 | Population Length: 20
Generation 22 | Average Generation Fitness: 0.7824518309437272 | Best Fitness: 0.8307734397279039 | Population Length: 20
Generation 23 | Average Generation Fitness: 0.7848182185138669 | Best Fitness: 0.8317658505448848 | Population Length: 20
Generation 24 | Average Generation Fitness: 0.7860876079760871 | Best Fitness: 0.8317658505448848 | Population Length: 20
Generation 25 | Average Generation Fitness: 0.7888051803655068 | Best Fitness: 0.8322265508941811 | Population Length: 20
Generation 26 | Average Generation Fitness: 0.7840437115572463 | Best Fitness: 0.8319999086375585 | Population Length: 20
Generation 27 | Average Generation Fitness: 0.801251497385613 | Best Fitness: 0.8319486031282168 | Population Length: 20
Generation 28 | Average Generation Fitness: 0.7779633738353624 | Best Fitness: 0.8320338323373827 | Population Length: 20
Generation 29 | Average Generation Fitness: 0.8000048990011213 | Best Fitness: 0.8320338323373827 | Population Length: 20
Generation 30 | Average Generation Fitness: 0.7987361608266986 | Best Fitness: 0.8320338323373827 | Population Length: 20
Generation 31 | Average Generation Fitness: 0.795790844857639 | Best Fitness: 0.832362199327781 | Population Length: 20
Generation 32 | Average Generation Fitness: 0.7919166840101257 | Best Fitness: 0.8322564998082105 | Population Length: 20
Generation 33 | Average Generation Fitness: 0.7921719598679091 | Best Fitness: 0.8322564998082105 | Population Length: 20
Generation 34 | Average Generation Fitness: 0.7998976862576084 | Best Fitness: 0.8322564998082105 | Population Length: 20
Generation 35 | Average Generation Fitness: 0.771639172744404 | Best Fitness: 0.8322564998082105 | Population Length: 20
