Target: 
Point: (0.5027738810697134, 0.49801825794281307, 0.5000627028567192)
Point: (0.5060050333689772, 0.5022348072132192, 0.5007185760098345)
Point: (0.49983577901751347, 0.49853064905668815, 0.49762718829323127)
Point: (0.49994017534200763, 0.5026266783731872, 0.5042435406428502)

Execution 1
Generation 1 | Average Generation Fitness: 0.7435246370477427 | Best Fitness: 0.7979075455461467 | Population Length: 20
Generation 42 | Average Generation Fitness: 0.7557088983859752 | Best Fitness: 0.8101445006393697 | Population Length: 20
Generation 43 | Average Generation Fitness: 0.74883995385019 | Best Fitness: 0.7928949409720458 | Population Length: 20
Generation 44 | Average Generation Fitness: 0.7555559883577786 | Best Fitness: 0.787057332200437 | Population Length: 20
Generation 45 | Average Generation Fitness: 0.7492012362907732 | Best Fitness: 0.8008886350963478 | Population Length: 20
Generation 46 | Average Generation Fitness: 0.7629830331398127 | Best Fitness: 0.8164708442391103 | Population Length: 20
Generation 47 | Average Generation Fitness: 0.7540835220137792 | Best Fitness: 0.8090580967062114 | Population Length: 20
Generation 48 | Average Generation Fitness: 0.7413153044262873 | Best Fitness: 0.7809284419685606 | Population Length: 20
Generation 49 | Average Generation Fitness: 0.7557465422785566 | Best Fitness: 0.801561608158809 | Population Length: 20
Generation 50 | Average Generation Fitness: 0.7477538826259682 | Best Fitness: 0.799189790054421 | Population Length: 20
Generation 51 | Average Generation Fitness: 0.7544851640620887 | Best Fitness: 0.8049796064548814 | Population Length: 20
Generation 52 | Average Generation Fitness: 0.7581343394059554 | Best Fitness: 0.8052162222544306 | Population Length: 20
Generation 53 | Average Generation Fitness: 0.7461874402203906 | Best Fitness: 0.8145540577767963 | Population Length: 20
Generation 54 | Average Generation Fitness: 0.7549434001289616 | Best Fitness: 0.8065956212659438 | Population Length: 20
Generation 55 | Average Generation Fitness: 0.7470449388347292 | Best Fitness: 0.7975327044260471 | Population Length: 20
Generation 56 | Average Generation Fitness: 0.7547223288017799 | Best Fitness: 0.7902588767817136 | Population Length: 20
Generation 57 | Average Generation Fitness: 0.7497619723201605 | Best Fitness: 0.7878322318253078 | Population Length: 20
Generation 58 | Average Generation Fitness: 0.7540104798025306 | Best Fitness: 0.794397333123316 | Population Length: 20
Generation 59 | Average Generation Fitness: 0.7689790666078855 | Best Fitness: 0.7969929110152328 | Population Length: 20
Generation 60 | Average Generation Fitness: 0.7505600319865415 | Best Fitness: 0.7928246104035036 | Population Length: 20
Generation 61 | Average Generation Fitness: 0.7567323718781007 | Best Fitness: 0.7951680706402409 | Population Length: 20
Generation 62 | Average Generation Fitness: 0.7498500706493234 | Best Fitness: 0.7951680706402409 | Population Length: 20
Generation 63 | Average Generation Fitness: 0.7512625130318686 | Best Fitness: 0.7960343480092935 | Population Length: 20
Generation 64 | Average Generation Fitness: 0.7526877725998883 | Best Fitness: 0.8016965813732375 | Population Length: 20
Generation 65 | Average Generation Fitness: 0.7715322622321186 | Best Fitness: 0.8053313564324398 | Population Length: 20
Generation 66 | Average Generation Fitness: 0.7458576034658642 | Best Fitness: 0.7967979322850892 | Population Length: 20
Generation 67 | Average Generation Fitness: 0.7521722744497867 | Best Fitness: 0.8059269874201965 | Population Length: 20
Generation 68 | Average Generation Fitness: 0.7538462182324913 | Best Fitness: 0.7975788562519496 | Population Length: 20
Generation 69 | Average Generation Fitness: 0.7425204178834831 | Best Fitness: 0.8000954310613533 | Population Length: 20
Generation 70 | Average Generation Fitness: 0.772678713951159 | Best Fitness: 0.8000954310613533 | Population Length: 20
Generation 71 | Average Generation Fitness: 0.7443760417016667 | Best Fitness: 0.7847894747953864 | Population Length: 20
Generation 72 | Average Generation Fitness: 0.7461477170039937 | Best Fitness: 0.7856769740035445 | Population Length: 20
Generation 73 | Average Generation Fitness: 0.746845310385264 | Best Fitness: 0.8147274873187672 | Population Length: 20
Generation 74 | Average Generation Fitness: 0.7567578616299265 | Best Fitness: 0.8147274873187672 | Population Length: 20
Generation 75 | Average Generation Fitness: 0.748052888650707 | Best Fitness: 0.7811190036035119 | Population Length: 20
Generation 76 | Average Generation Fitness: 0.7465433784088289 | Best Fitness: 0.7935036102647662 | Population Length: 20
Generation 77 | Average Generation Fitness: 0.7480317965723959 | Best Fitness: 0.8034336199682761 | Population Length: 20
Generation 78 | Average Generation Fitness: 0.7526940291032739 | Best Fitness: 0.807034964885333 | Population Length: 20
Generation 79 | Average Generation Fitness: 0.7573464761712994 | Best Fitness: 0.7898733048845662 | Population Length: 20
Generation 80 | Average Generation Fitness: 0.7482158746769685 | Best Fitness: 0.8050258823129993 | Population Length: 20
Generation 81 | Average Generation Fitness: 0.7551211894534625 | Best Fitness: 0.8008081793113344 | Population Length: 20
Generation 82 | Average Generation Fitness: 0.7552176841592028 | Best Fitness: 0.8176045337587798 | Population Length: 20
Generation 83 | Average Generation Fitness: 0.7484558618821773 | Best Fitness: 0.7880868652315072 | Population Length: 20
Generation 84 | Average Generation Fitness: 0.7432278223654551 | Best Fitness: 0.8052171272808499 | Population Length: 20
Generation 85 | Average Generation Fitness: 0.7584460464526501 | Best Fitness: 0.7993917172774099 | Population Length: 20
Generation 86 | Average Generation Fitness: 0.7531305475069432 | Best Fitness: 0.7950296967056955 | Population Length: 20
Generation 87 | Average Generation Fitness: 0.7500825127886404 | Best Fitness: 0.8014646633921906 | Population Length: 20
Generation 88 | Average Generation Fitness: 0.7430181294095293 | Best Fitness: 0.8024126104258715 | Population Length: 20
Generation 89 | Average Generation Fitness: 0.7458290981132085 | Best Fitness: 0.8019007810655006 | Population Length: 20
Generation 90 | Average Generation Fitness: 0.761652786431503 | Best Fitness: 0.8173158073322591 | Population Length: 20
Generation 91 | Average Generation Fitness: 0.7563670226944403 | Best Fitness: 0.8029874780143151 | Population Length: 20
Generation 92 | Average Generation Fitness: 0.7561494834823717 | Best Fitness: 0.8011843454721597 | Population Length: 20
Generation 93 | Average Generation Fitness: 0.7451183915395232 | Best Fitness: 0.7989866332576253 | Population Length: 20
Generation 94 | Average Generation Fitness: 0.757758609691367 | Best Fitness: 0.8038415637629036 | Population Length: 20
Generation 95 | Average Generation Fitness: 0.7581090936928147 | Best Fitness: 0.8038415637629036 | Population Length: 20
Generation 96 | Average Generation Fitness: 0.7641061855529432 | Best Fitness: 0.8321125977030683 | Population Length: 20
Generation 97 | Average Generation Fitness: 0.7536641731910648 | Best Fitness: 0.7864459539606337 | Population Length: 20
Generation 98 | Average Generation Fitness: 0.7596609697360468 | Best Fitness: 0.8083624513257545 | Population Length: 20
Generation 99 | Average Generation Fitness: 0.7428002768430695 | Best Fitness: 0.797564214545815 | Population Length: 20
Generation 100 | Average Generation Fitness: 0.755096168910704 | Best Fitness: 0.797452194021453 | Population Length: 20
Generation 101 | Average Generation Fitness: 0.7558410635138719 | Best Fitness: 0.8050309908926715 | Population Length: 20
Generation 102 | Average Generation Fitness: 0.7323506692981321 | Best Fitness: 0.8021667016993865 | Population Length: 20
Generation 103 | Average Generation Fitness: 0.7531134357961571 | Best Fitness: 0.8110842414867556 | Population Length: 20
Generation 104 | Average Generation Fitness: 0.7419624385966574 | Best Fitness: 0.7850074365894928 | Population Length: 20
Generation 105 | Average Generation Fitness: 0.7585134017674665 | Best Fitness: 0.7994212082644607 | Population Length: 20
Generation 106 | Average Generation Fitness: 0.7541215857090757 | Best Fitness: 0.8121120593684993 | Population Length: 20
Generation 107 | Average Generation Fitness: 0.752299243142749 | Best Fitness: 0.7960609397380655 | Population Length: 20
Generation 108 | Average Generation Fitness: 0.748688587309406 | Best Fitness: 0.7951875971571699 | Population Length: 20
Generation 109 | Average Generation Fitness: 0.7543922513822643 | Best Fitness: 0.7951875971571699 | Population Length: 20
Generation 110 | Average Generation Fitness: 0.7578645543139912 | Best Fitness: 0.8129953262160449 | Population Length: 20
Generation 111 | Average Generation Fitness: 0.7375792743075815 | Best Fitness: 0.8129953262160449 | Population Length: 20
Generation 112 | Average Generation Fitness: 0.7547370131723355 | Best Fitness: 0.7946140796676704 | Population Length: 20
Generation 113 | Average Generation Fitness: 0.7421147401999123 | Best Fitness: 0.8042338020243462 | Population Length: 20
Generation 114 | Average Generation Fitness: 0.741468705614489 | Best Fitness: 0.8066270065676475 | Population Length: 20
Generation 115 | Average Generation Fitness: 0.7529258610980252 | Best Fitness: 0.8133459606834775 | Population Length: 20
Generation 116 | Average Generation Fitness: 0.7603680818252426 | Best Fitness: 0.8147329042036405 | Population Length: 20
Generation 117 | Average Generation Fitness: 0.741784027526547 | Best Fitness: 0.8147329042036405 | Population Length: 20
Generation 118 | Average Generation Fitness: 0.7552683013618868 | Best Fitness: 0.8007127540127138 | Population Length: 20
Generation 119 | Average Generation Fitness: 0.7324013987594034 | Best Fitness: 0.8012559319096177 | Population Length: 20
Generation 120 | Average Generation Fitness: 0.7573538251923031 | Best Fitness: 0.7987827601685538 | Population Length: 20
Generation 121 | Average Generation Fitness: 0.7449232599243494 | Best Fitness: 0.7778328065934664 | Population Length: 20
Generation 122 | Average Generation Fitness: 0.7484441458714568 | Best Fitness: 0.7970252556395837 | Population Length: 20
Generation 123 | Average Generation Fitness: 0.7378372810593693 | Best Fitness: 0.797457200718718 | Population Length: 20
Generation 124 | Average Generation Fitness: 0.7555626776783055 | Best Fitness: 0.8082781487189737 | Population Length: 20
Generation 125 | Average Generation Fitness: 0.73903330811328 | Best Fitness: 0.7979424694044485 | Population Length: 20
Generation 126 | Average Generation Fitness: 0.7559252156488968 | Best Fitness: 0.8035215359479358 | Population Length: 20
Generation 127 | Average Generation Fitness: 0.75320909411123 | Best Fitness: 0.8035215359479358 | Population Length: 20
Generation 128 | Average Generation Fitness: 0.7475624358158406 | Best Fitness: 0.7930390216886425 | Population Length: 20
Generation 129 | Average Generation Fitness: 0.7512750775379881 | Best Fitness: 0.7988473292969591 | Population Length: 20
Generation 130 | Average Generation Fitness: 0.7484662321264473 | Best Fitness: 0.7959953891215409 | Population Length: 20
Generation 131 | Average Generation Fitness: 0.7437723235916796 | Best Fitness: 0.798177573562262 | Population Length: 20
Generation 132 | Average Generation Fitness: 0.7705596298497153 | Best Fitness: 0.8082515154318772 | Population Length: 20
Generation 133 | Average Generation Fitness: 0.7529959880276438 | Best Fitness: 0.8082515154318772 | Population Length: 20
Generation 134 | Average Generation Fitness: 0.7565785070817989 | Best Fitness: 0.8082515154318772 | Population Length: 20
Generation 135 | Average Generation Fitness: 0.7488997084464794 | Best Fitness: 0.8137094071103362 | Population Length: 20
Generation 136 | Average Generation Fitness: 0.7528429339194315 | Best Fitness: 0.8124730949048686 | Population Length: 20
Generation 137 | Average Generation Fitness: 0.749390120923988 | Best Fitness: 0.8124730949048686 | Population Length: 20
Generation 138 | Average Generation Fitness: 0.7484092086953535 | Best Fitness: 0.8038242479918256 | Population Length: 20
Generation 139 | Average Generation Fitness: 0.7431745683827475 | Best Fitness: 0.8032767318364658 | Population Length: 20
Generation 140 | Average Generation Fitness: 0.7638335770866987 | Best Fitness: 0.79867848730706 | Population Length: 20
Generation 141 | Average Generation Fitness: 0.7332716703740306 | Best Fitness: 0.7725562377072657 | Population Length: 20
Generation 142 | Average Generation Fitness: 0.7447553926855042 | Best Fitness: 0.7972553150882481 | Population Length: 20
Generation 143 | Average Generation Fitness: 0.7552727059008941 | Best Fitness: 0.7972553150882481 | Population Length: 20
Generation 144 | Average Generation Fitness: 0.7525080563361233 | Best Fitness: 0.8099341448896582 | Population Length: 20
Generation 145 | Average Generation Fitness: 0.7538401008758194 | Best Fitness: 0.8048752627395883 | Population Length: 20
Generation 146 | Average Generation Fitness: 0.7554844178833682 | Best Fitness: 0.7897236494786222 | Population Length: 20
Generation 147 | Average Generation Fitness: 0.7475994265578901 | Best Fitness: 0.8084559892110892 | Population Length: 20
Generation 148 | Average Generation Fitness: 0.7558549089410925 | Best Fitness: 0.8084559892110892 | Population Length: 20
Generation 149 | Average Generation Fitness: 0.7591836461680291 | Best Fitness: 0.8102618768307264 | Population Length: 20
Generation 150 | Average Generation Fitness: 0.7583141415858915 | Best Fitness: 0.8091540799127118 | Population Length: 20
Generation 151 | Average Generation Fitness: 0.7434245675952273 | Best Fitness: 0.7962179711942682 | Population Length: 20
Generation 152 | Average Generation Fitness: 0.7499334845142899 | Best Fitness: 0.8034306912394333 | Population Length: 20
Generation 153 | Average Generation Fitness: 0.7480111092473862 | Best Fitness: 0.7924982713285293 | Population Length: 20
Generation 154 | Average Generation Fitness: 0.7571813419090336 | Best Fitness: 0.8016610107353737 | Population Length: 20
Generation 155 | Average Generation Fitness: 0.7639858142831093 | Best Fitness: 0.8068810599789814 | Population Length: 20
Generation 156 | Average Generation Fitness: 0.7626942976956438 | Best Fitness: 0.8070845936120404 | Population Length: 20
Generation 157 | Average Generation Fitness: 0.763971866047795 | Best Fitness: 0.8175758704464965 | Population Length: 20
Generation 158 | Average Generation Fitness: 0.743538850823373 | Best Fitness: 0.8175758704464965 | Population Length: 20
Generation 159 | Average Generation Fitness: 0.7470964500984321 | Best Fitness: 0.8175758704464965 | Population Length: 20
Generation 160 | Average Generation Fitness: 0.7402386848838545 | Best Fitness: 0.8156970901511886 | Population Length: 20
Generation 161 | Average Generation Fitness: 0.7387638761987187 | Best Fitness: 0.8187971740702917 | Population Length: 20
Generation 162 | Average Generation Fitness: 0.7592957810912122 | Best Fitness: 0.816520811781707 | Population Length: 20
Generation 163 | Average Generation Fitness: 0.7431603478572723 | Best Fitness: 0.814893437928221 | Population Length: 20
Generation 164 | Average Generation Fitness: 0.7547634016192453 | Best Fitness: 0.7901510944266398 | Population Length: 20
Generation 165 | Average Generation Fitness: 0.7496754319260415 | Best Fitness: 0.7868798914317382 | Population Length: 20
Generation 166 | Average Generation Fitness: 0.749113328720622 | Best Fitness: 0.8100086402689615 | Population Length: 20
Generation 167 | Average Generation Fitness: 0.7565038024941332 | Best Fitness: 0.8100086402689615 | Population Length: 20
Generation 168 | Average Generation Fitness: 0.7474264739620555 | Best Fitness: 0.7988352568395022 | Population Length: 20
Generation 169 | Average Generation Fitness: 0.7521750084916077 | Best Fitness: 0.8074302981625213 | Population Length: 20
Generation 170 | Average Generation Fitness: 0.768069580189926 | Best Fitness: 0.8090134994187927 | Population Length: 20
Generation 171 | Average Generation Fitness: 0.7488869171171796 | Best Fitness: 0.8018436081649284 | Population Length: 20
Generation 172 | Average Generation Fitness: 0.7538763557060374 | Best Fitness: 0.7936836246183007 | Population Length: 20
Generation 173 | Average Generation Fitness: 0.7444792218858841 | Best Fitness: 0.8042986494140631 | Population Length: 20
Generation 174 | Average Generation Fitness: 0.7627105694126357 | Best Fitness: 0.8042986494140631 | Population Length: 20
Generation 175 | Average Generation Fitness: 0.7515464746510918 | Best Fitness: 0.8053192845816518 | Population Length: 20
Generation 176 | Average Generation Fitness: 0.7462508536286939 | Best Fitness: 0.8020275762442705 | Population Length: 20
Generation 177 | Average Generation Fitness: 0.7522993218602814 | Best Fitness: 0.80793967557504 | Population Length: 20
Generation 178 | Average Generation Fitness: 0.7527640047428734 | Best Fitness: 0.8020275762442705 | Population Length: 20
Generation 179 | Average Generation Fitness: 0.7530776260092599 | Best Fitness: 0.7966477560192518 | Population Length: 20
Generation 180 | Average Generation Fitness: 0.7489121929365351 | Best Fitness: 0.7958510049896708 | Population Length: 20
Generation 181 | Average Generation Fitness: 0.7544064453412975 | Best Fitness: 0.8104945777822873 | Population Length: 20
Generation 182 | Average Generation Fitness: 0.7461023732099854 | Best Fitness: 0.8028292029622568 | Population Length: 20
Generation 183 | Average Generation Fitness: 0.7596686174675081 | Best Fitness: 0.8126285770548021 | Population Length: 20
Generation 184 | Average Generation Fitness: 0.7642321711943507 | Best Fitness: 0.8126285770548021 | Population Length: 20
Generation 185 | Average Generation Fitness: 0.7486913537149881 | Best Fitness: 0.8104354120716768 | Population Length: 20
Generation 186 | Average Generation Fitness: 0.7474737484683239 | Best Fitness: 0.8028155294937083 | Population Length: 20
Generation 187 | Average Generation Fitness: 0.7587187383461553 | Best Fitness: 0.811577646356831 | Population Length: 20
Generation 188 | Average Generation Fitness: 0.7498938655923941 | Best Fitness: 0.811577646356831 | Population Length: 20
Generation 189 | Average Generation Fitness: 0.7450253261223679 | Best Fitness: 0.7803079948142073 | Population Length: 20
Generation 190 | Average Generation Fitness: 0.7515826239146308 | Best Fitness: 0.7885730409986668 | Population Length: 20
Generation 191 | Average Generation Fitness: 0.7515525357130821 | Best Fitness: 0.7850747267010342 | Population Length: 20
Generation 192 | Average Generation Fitness: 0.7470445705742523 | Best Fitness: 0.7850747267010342 | Population Length: 20
Generation 193 | Average Generation Fitness: 0.7572055737859492 | Best Fitness: 0.8122434187238897 | Population Length: 20
Generation 194 | Average Generation Fitness: 0.7440477400332514 | Best Fitness: 0.7922385400575578 | Population Length: 20
Generation 195 | Average Generation Fitness: 0.7628882617372692 | Best Fitness: 0.8085276071989838 | Population Length: 20
Generation 196 | Average Generation Fitness: 0.7405139565514076 | Best Fitness: 0.7931464526222269 | Population Length: 20
Generation 197 | Average Generation Fitness: 0.743224884030796 | Best Fitness: 0.7886333490067062 | Population Length: 20
Generation 198 | Average Generation Fitness: 0.7435918609200265 | Best Fitness: 0.7928351252967185 | Population Length: 20
Generation 199 | Average Generation Fitness: 0.7593433587598162 | Best Fitness: 0.8042660006174861 | Population Length: 20
Generation 200 | Average Generation Fitness: 0.7514526517543958 | Best Fitness: 0.7928351252967185 | Population Length: 20
Generation 201 | Average Generation Fitness: 0.7487461841293728 | Best Fitness: 0.7928351252967185 | Population Length: 20
Generation 202 | Average Generation Fitness: 0.7587900323848161 | Best Fitness: 0.8023748937621826 | Population Length: 20
Generation 203 | Average Generation Fitness: 0.756672056373627 | Best Fitness: 0.8023748937621826 | Population Length: 20
Generation 204 | Average Generation Fitness: 0.7551531310075621 | Best Fitness: 0.8080018645183157 | Population Length: 20
Generation 205 | Average Generation Fitness: 0.7546223504573242 | Best Fitness: 0.8039437975520377 | Population Length: 20
Generation 206 | Average Generation Fitness: 0.7572295067776256 | Best Fitness: 0.8039437975520377 | Population Length: 20
Generation 207 | Average Generation Fitness: 0.739951020655973 | Best Fitness: 0.8120675959648905 | Population Length: 20
Generation 208 | Average Generation Fitness: 0.7502108063151425 | Best Fitness: 0.8120675959648905 | Population Length: 20
Generation 209 | Average Generation Fitness: 0.7554012611198564 | Best Fitness: 0.8120675959648905 | Population Length: 20
Generation 210 | Average Generation Fitness: 0.749137168962047 | Best Fitness: 0.8120675959648905 | Population Length: 20
Generation 211 | Average Generation Fitness: 0.7505586843958914 | Best Fitness: 0.8120675959648905 | Population Length: 20
Generation 212 | Average Generation Fitness: 0.744787813778144 | Best Fitness: 0.8067969548098385 | Population Length: 20
Generation 213 | Average Generation Fitness: 0.7356066298163653 | Best Fitness: 0.8067969548098385 | Population Length: 20
Generation 214 | Average Generation Fitness: 0.7555731915634942 | Best Fitness: 0.8000190823713872 | Population Length: 20
Generation 215 | Average Generation Fitness: 0.764285989207483 | Best Fitness: 0.8162769657778647 | Population Length: 20
Generation 216 | Average Generation Fitness: 0.7531443522337791 | Best Fitness: 0.8000190823713872 | Population Length: 20
Generation 217 | Average Generation Fitness: 0.7467379135705356 | Best Fitness: 0.7935136464538329 | Population Length: 20
Generation 218 | Average Generation Fitness: 0.7506606267979365 | Best Fitness: 0.7916847598693854 | Population Length: 20
Generation 219 | Average Generation Fitness: 0.7592385030370018 | Best Fitness: 0.8088894602727706 | Population Length: 20
Generation 220 | Average Generation Fitness: 0.7638243411226566 | Best Fitness: 0.8050559575134837 | Population Length: 20
Generation 221 | Average Generation Fitness: 0.7369994809994211 | Best Fitness: 0.7850597743274622 | Population Length: 20
Generation 222 | Average Generation Fitness: 0.749096441790831 | Best Fitness: 0.7857522887253983 | Population Length: 20
Generation 223 | Average Generation Fitness: 0.7397528123322538 | Best Fitness: 0.7924829463201309 | Population Length: 20
Generation 224 | Average Generation Fitness: 0.7584793362463771 | Best Fitness: 0.798164685697723 | Population Length: 20
Generation 225 | Average Generation Fitness: 0.7439820248157873 | Best Fitness: 0.7963027205848323 | Population Length: 20
Generation 226 | Average Generation Fitness: 0.7467683797603601 | Best Fitness: 0.7900319554609161 | Population Length: 20
Generation 227 | Average Generation Fitness: 0.7532310728108415 | Best Fitness: 0.8028123010136461 | Population Length: 20
Generation 228 | Average Generation Fitness: 0.7456653161687268 | Best Fitness: 0.7873779735778829 | Population Length: 20
Generation 229 | Average Generation Fitness: 0.7504612388560977 | Best Fitness: 0.7892805569378595 | Population Length: 20
Generation 230 | Average Generation Fitness: 0.7575220552819386 | Best Fitness: 0.8007713040603135 | Population Length: 20
Generation 231 | Average Generation Fitness: 0.7404419607339324 | Best Fitness: 0.8007713040603135 | Population Length: 20
Generation 232 | Average Generation Fitness: 0.7510517922085463 | Best Fitness: 0.8007713040603135 | Population Length: 20
Generation 233 | Average Generation Fitness: 0.7471757567099602 | Best Fitness: 0.7915103289205893 | Population Length: 20
Generation 234 | Average Generation Fitness: 0.7488152789714558 | Best Fitness: 0.7981520238000155 | Population Length: 20
Generation 235 | Average Generation Fitness: 0.7599589897746161 | Best Fitness: 0.8084330950252592 | Population Length: 20
Generation 236 | Average Generation Fitness: 0.7585758811716914 | Best Fitness: 0.8075246844423158 | Population Length: 20
Generation 237 | Average Generation Fitness: 0.7701880914424873 | Best Fitness: 0.8165943826193274 | Population Length: 20
Generation 238 | Average Generation Fitness: 0.7527306291798082 | Best Fitness: 0.8113117327969823 | Population Length: 20
Generation 239 | Average Generation Fitness: 0.75460823013298 | Best Fitness: 0.8113117327969823 | Population Length: 20
Generation 240 | Average Generation Fitness: 0.7475097350441013 | Best Fitness: 0.8101658179113479 | Population Length: 20
Generation 241 | Average Generation Fitness: 0.7582370447713479 | Best Fitness: 0.8101658179113479 | Population Length: 20
Generation 242 | Average Generation Fitness: 0.7431661271384087 | Best Fitness: 0.8101658179113479 | Population Length: 20
Generation 243 | Average Generation Fitness: 0.7486256157022713 | Best Fitness: 0.8100094396536006 | Population Length: 20
Generation 244 | Average Generation Fitness: 0.7668900799079523 | Best Fitness: 0.8135267033438192 | Population Length: 20
Generation 245 | Average Generation Fitness: 0.7492283925703022 | Best Fitness: 0.81081511809538 | Population Length: 20
Generation 246 | Average Generation Fitness: 0.7576325366763542 | Best Fitness: 0.810858223399023 | Population Length: 20
Generation 247 | Average Generation Fitness: 0.7537440499225939 | Best Fitness: 0.8105216264804587 | Population Length: 20
Generation 248 | Average Generation Fitness: 0.7375786998558413 | Best Fitness: 0.7864396958529328 | Population Length: 20
Generation 249 | Average Generation Fitness: 0.760660654198917 | Best Fitness: 0.7981197196024994 | Population Length: 20
Generation 250 | Average Generation Fitness: 0.7489162833736713 | Best Fitness: 0.7901904157414694 | Population Length: 20
Generation 251 | Average Generation Fitness: 0.7597447459693834 | Best Fitness: 0.7956131697710888 | Population Length: 20
Generation 252 | Average Generation Fitness: 0.7526097148087691 | Best Fitness: 0.7977312222363113 | Population Length: 20
Generation 253 | Average Generation Fitness: 0.7505009018413442 | Best Fitness: 0.7980441114597087 | Population Length: 20
